Date_time,CPU,Memory_Bytes,Disk_Usage,,Reference_time
1629503445,9.53226E+11,402018304,199800,,0
1629503446,9.53314E+11,402239488,199804,,1
1629503447,9.53395E+11,402124800,199812,,2
1629503448,9.53488E+11,401903616,199816,,3
1629503450,9.53625E+11,402198528,199820,,5
1629503451,9.5376E+11,402128896,199828,,6
1629503452,9.53858E+11,402321408,199832,,7
1629503453,9.53986E+11,402128896,199840,,8
1629503455,9.54088E+11,402137088,199844,,10
1629503456,9.54205E+11,402096128,199852,,11
1629503457,9.54345E+11,402403328,199856,,12
1629503458,9.54495E+11,402468864,199864,,13
1629503460,9.54633E+11,402083840,199884,,15
1629503461,9.54724E+11,402268160,199888,,16
1629503462,9.54875E+11,400670720,199896,,17
1629503463,9.54974E+11,400445440,199900,,18
1629503465,9.55075E+11,400637952,199908,,20
1629503466,9.55257E+11,400744448,199912,,21
1629503467,9.55334E+11,400969728,199932,,22
1629503468,9.5544E+11,400826368,199940,,23
1629503470,9.55546E+11,400965632,199944,,25
1629503471,9.55625E+11,400818176,199952,,26
1629503472,9.55708E+11,400908288,199960,,27
1629503473,9.55819E+11,400777216,199964,,28
1629503474,9.55915E+11,400781312,199972,,29
1629503476,9.5603E+11,400789504,199976,,31
1629503477,9.56119E+11,400842752,199984,,32
1629503478,9.56227E+11,400904192,199988,,33
1629503479,9.56354E+11,400556032,199996,,34
1629503481,9.56507E+11,400805888,200016,,36
1629503482,9.5664E+11,400826368,200020,,37
1629503484,9.56835E+11,400887808,200028,,39
1629503485,9.56936E+11,401137664,200032,,40
1629503486,9.57062E+11,400941056,200040,,41
1629503487,9.57196E+11,401002496,200044,,42
1629503489,9.57334E+11,401039360,200052,,44
1629503490,9.57507E+11,400834560,200056,,45
1629503491,9.57652E+11,401084416,200060,,46
1629503493,9.57802E+11,401305600,200068,,48
1629503494,9.57924E+11,401182720,200072,,49
1629503495,9.58061E+11,401133568,200076,,50
1629503496,9.58152E+11,400994304,200100,,51
1629503498,9.58263E+11,401190912,200104,,53
1629503499,9.58394E+11,401211392,200108,,54
1629503500,9.58558E+11,401260544,200112,,55
1629503502,9.58682E+11,401076224,200120,,57
1629503503,9.58814E+11,400822272,200124,,58
1629503504,9.58917E+11,401145856,200128,,59
1629503506,9.59066E+11,401059840,200136,,61
1629503507,9.59184E+11,401272832,200140,,62
1629503508,9.59284E+11,401154048,200148,,63
1629503509,9.59395E+11,401358848,200152,,64
1629503511,9.59491E+11,401166336,200160,,66
1629503512,9.59562E+11,401182720,200164,,67
1629503513,9.59661E+11,401313792,200188,,68
1629503514,9.59745E+11,401219584,200192,,69
1629503515,9.59877E+11,401231872,200200,,70
1629503517,9.59967E+11,401313792,200204,,72
1629503518,9.60065E+11,401174528,200212,,73
1629503519,9.60167E+11,401248256,200216,,74
1629503520,9.60291E+11,401342464,200224,,75
1629503521,9.60381E+11,401510400,200228,,76
1629503523,9.60461E+11,401498112,200236,,78
1629503524,9.60537E+11,401195008,200240,,79
1629503525,9.60634E+11,401309696,200248,,80
1629503526,9.60709E+11,401317888,200268,,81
1629503527,9.60793E+11,401305600,200276,,82
1629503529,9.60896E+11,401432576,200280,,84
1629503530,9.60979E+11,401289216,200288,,85
1629503531,9.61053E+11,401428480,200292,,86
1629503532,9.61164E+11,401330176,200300,,87
1629503533,9.61259E+11,401469440,200304,,88
1629503535,9.61338E+11,401260544,200312,,90
1629503536,9.61433E+11,401362944,200316,,91
1629503537,9.61528E+11,401547264,200324,,92
1629503538,9.6164E+11,401379328,200328,,93
1629503539,9.61775E+11,401461248,200352,,94
1629503541,9.61875E+11,401477632,200360,,96
1629503542,9.6196E+11,401420288,200364,,97
1629503543,9.62067E+11,401481728,200372,,98
1629503544,9.62159E+11,401391616,200376,,99
1629503545,9.62268E+11,401567744,200384,,100
1629503547,9.62404E+11,401477632,200388,,102
1629503548,9.62512E+11,401457152,200396,,103
1629503549,9.62596E+11,401547264,200400,,104
1629503550,9.62712E+11,401494016,200408,,105
1629503551,9.62816E+11,401494016,200412,,106
1629503553,9.62929E+11,401543168,200420,,108
1629503554,9.63013E+11,401629184,200440,,109
1629503555,9.63184E+11,401604608,200448,,110
1629503556,9.63286E+11,401498112,200452,,111
1629503557,9.63371E+11,401711104,200460,,112
1629503559,9.63481E+11,401813504,200464,,114
1629503560,9.63557E+11,401743872,200472,,115
1629503561,9.63648E+11,401735680,200480,,116
1629503562,9.6376E+11,401600512,200484,,117
1629503564,9.63852E+11,401752064,200492,,119
1629503565,9.63935E+11,401801216,200496,,120
1629503566,9.64033E+11,401674240,200504,,121
1629503567,9.6412E+11,401883136,200528,,122
1629503568,9.6424E+11,401702912,200532,,123
1629503570,9.64329E+11,401825792,200536,,125
1629503571,9.64412E+11,401649664,200544,,126
1629503572,9.64494E+11,401887232,200552,,127
1629503573,9.64597E+11,401571840,200556,,128
1629503575,9.64675E+11,401494016,200564,,130
1629503576,9.64769E+11,401846272,200568,,131
