timeslot,rl_storage_allocator,greedy_storage_allocator,actual_disk_usage
0,203687,203687.3561,199724
1,203694,203787.3561,199732
2,203700,203787.3561,199744
3,203706,203787.3561,199748
4,203712,203787.3561,199756
5,203718,203787.3561,199764
6,203725,203787.3561,199768
7,203725,203787.3561,199776
8,203737,203787.3561,199780
9,203743,203787.3561,199788
10,203750,203787.3561,199796
11,203756,203787.3561,199808
12,203762,203787.3561,199816
13,203768,203787.3561,199820
14,203774,203787.3561,199828
15,203781,203787.3561,199836
16,203787,203787.3561,199852
17,203793,203887.3561,199860
18,203799,203887.3561,199868
19,203806,203887.3561,199872
20,203812,203887.3561,199880
21,203818,203887.3561,199884
22,203824,203887.3561,199892
23,203830,203887.3561,199900
24,203837,203887.3561,199904
25,203843,203887.3561,199912
26,203849,203887.3561,199920
27,203855,203887.3561,199932
28,203862,203887.3561,199940
29,203868,203887.3561,199944
30,203874,203887.3561,199952
31,203880,203887.3561,199960
32,203886,203887.3561,199968
33,203893,203987.3561,199972
34,203899,203987.3561,199980
35,203905,203987.3561,199988
36,203911,203987.3561,199992
37,203918,203987.3561,200000
38,203924,203987.3561,200016
39,203930,203987.3561,200020
40,203936,203987.3561,200028
41,203943,203987.3561,200032
42,203949,203987.3561,200040
43,203955,203987.3561,200048
44,203961,203987.3561,200052
45,203967,203987.3561,200060
46,203974,203987.3561,200068
47,203980,203987.3561,200072
48,203986,203987.3561,200080
49,203992,204087.3561,200096
50,203999,204087.3561,200100
51,204005,204087.3561,200108
52,204011,204087.3561,200116
53,204017,204087.3561,200120
54,204023,204087.3561,200128
55,204030,204087.3561,200132
56,204036,204087.3561,200140
57,204042,204087.3561,200148
58,204048,204087.3561,200152
59,204055,204087.3561,200160
60,204061,204087.3561,200168
61,204067,204087.3561,200180
62,204073,204087.3561,200188
63,204079,204087.3561,200192
64,204086,204087.3561,200200
65,204092,204187.3561,200204
66,204098,204187.3561,200212
67,204104,204187.3561,200220
68,204111,204187.3561,200224
69,204117,204187.3561,200232
70,204123,204187.3561,200240
71,204129,204187.3561,200244
72,204135,204187.3561,200260
73,204142,204187.3561,200268
74,204148,204187.3561,200272
75,204154,204187.3561,200280
76,204160,204187.3561,200284
77,204167,204187.3561,200292
78,204173,204187.3561,200300
79,204179,204187.3561,200304
80,204185,204187.3561,200312
81,204191,204287.3561,200316
82,204198,204287.3561,200324
83,204204,204287.3561,200340
84,204210,204287.3561,200344
85,204216,204287.3561,200352
86,204223,204287.3561,200360
87,204229,204287.3561,200364
88,204235,204287.3561,200372
89,204241,204287.3561,200376
90,204247,204287.3561,200384
91,204254,204287.3561,200388
92,204260,204287.3561,200396
93,204266,204287.3561,200404
94,204272,204287.3561,200416
95,204279,204287.3561,200424
96,204285,204287.3561,200432
97,204291,204387.3561,200436
98,204297,204387.3561,200444
99,204303,204387.3561,200448
100,204310,204387.3561,200456
101,204316,204387.3561,200464
102,204322,204387.3561,200468
103,204328,204387.3561,200476
104,204335,204387.3561,200480
105,204341,204387.3561,200488
106,204347,204387.3561,200504
107,204353,204387.3561,200508
108,204359,204387.3561,200516
109,204366,204387.3561,200520
110,204372,204387.3561,200528
111,204378,204387.3561,200536
112,204384,204387.3561,200540
113,204391,204487.3561,200548
114,204397,204487.3561,200552
115,204403,204487.3561,200560
116,204409,204487.3561,200568
117,204415,204487.3561,200580
118,204422,204487.3561,200588
119,204428,204487.3561,200596
120,204434,204487.3561,200600
121,204440,204487.3561,200608
122,204447,204487.3561,200612
123,204453,204487.3561,200620
124,204459,204487.3561,200628
